t,flow,rainfall
229,9126.157227,0
230,8995.949219,0
231,9317.129395,0
232,9076.967773,0
233,9137.731201,0
234,9256.365723,0
235,9282.406738,0
236,9247.685547,0
237,9346.064453,0
238,9374.999756,0
239,9247.684814,0
240,9129.05127,0
241,8940.972168,0
242,9273.727051,0
243,9218.750488,0
244,9094.329102,0
245,9030.670898,0
246,8981.481445,0
247,8952.546631,0
248,8903.356201,0
249,8697.916504,0
250,8686.342529,0
251,8773.148193,0
252,8726.851807,0
253,8663.194336,0
254,8828.125,0
255,8865.741211,0
256,8845.486328,0
257,8761.574219,0
258,8839.698975,0
259,8695.022949,0
260,8625.579102,0
261,8735.532227,0
262,8631.365479,0
263,8848.379395,0
264,8680.555664,0
265,8434.606689,0
266,8599.537354,0
267,8752.893555,0
268,9050.925781,0
269,8671.874756,0
270,8807.870605,0
271,8368.05542,0
272,8666.087646,0
273,8796.295898,0
274,8750,0
275,8773.147705,0
276,8619.791504,0
277,8758.680664,0
278,8741.319336,0
279,8747.106689,0
280,8799.189453,0
281,8776.041992,0
282,8735.532227,0
283,8608.217529,0
284,8637.153076,0
285,8527.199219,0
286,8527.199219,0
287,8680.55542,0
288,8344.907471,0
289,8839.698486,0
290,8990.162109,0
291,8972.80127,0
292,8845.48584,0
293,8923.611084,0
294,8839.698975,0
295,8938.078613,0
296,8726.851563,0
297,8619.791748,0
298,8683.44873,0
299,8926.504395,2
300,8645.833496,0
301,8631.365723,0
302,8700.810059,0.2
303,8570.602295,1.1
304,8836.805664,3.5
305,8972.801025,14.7
306,8894.675781,16.9
307,8998.842285,6.6
308,8912.037109,6.6
309,10396.41162,7
310,10332.75488,2.4
311,10228.58838,0.2
312,10089.69922,0.1
313,8590.856445,0
314,9360.532227,0
315,9346.064941,0
316,9308.449219,0
317,9334.490234,0
318,9267.939941,0
319,9493.634277,0
320,9265.046143,0
321,8993.05542,0
322,9322.916504,0
323,9105.90332,0
324,9178.240723,0
325,8955.439941,0
326,8998.842773,0
327,8946.759277,0
328,9010.416504,0
329,9010.416504,0
330,8851.273438,0
331,9050.925781,0
332,8969.907715,0
333,9097.222168,0
334,9250.578613,0
335,9039.352051,0
336,9131.944336,0
337,9004.629639,0
338,8990.162109,0
339,8935.185303,0
340,9050.92627,0
341,8914.93042,0
342,8796.296387,0
343,9030.671387,0
344,8967.013916,0
345,9114.583496,0
346,8862.847168,0
347,8917.824219,0
348,9004.629883,0.2
349,8883.101807,0
350,9001.736328,0
351,8961.226807,0
352,8987.268555,0
353,8854.166504,0
354,8920.717529,0
355,8709.490723,0.2
356,8796.296387,0
357,8700.809814,0
358,8796.296143,0
359,9267.939941,0
360,9673.032715,0.4
361,9907.407227,18.5
362,10604.74512,13.3
363,10865.16211,0
364,12416.08838,0.7
365,11362.84717,2.3
366,11730.32373,0.8
367,9956.597168,1.3
368,9861.111328,0
369,9806.134277,0
370,9565.972168,0
371,9751.157227,0
372,10376.15747,0
373,10144.67578,0
374,10179.39868,0
375,10190.97217,0.7
376,10069.44458,0
377,9777.199219,0
378,10026.04175,0
379,9826.388672,0.1
380,9968.171143,0
381,9788.773438,0.1
382,10072.33765,1.2
383,9890.046875,0
384,9389.467773,0
385,9186.921387,0
386,9372.106445,0
387,9560.185059,0
388,9505.208496,0
389,9479.166992,0
390,9311.342529,0.1
391,9479.166504,0.7
392,9372.106445,0
393,9195.601563,0
394,9369.212891,0
395,9369.212646,0
396,9372.105957,0
397,9363.425781,0
398,9212.962891,0
399,9262.152832,0
400,9291.087891,0.2
401,9178.240723,0.3
402,9369.212891,3.4
403,9508.102051,6.8
404,9580.439453,4.5
405,9519.67627,8.8
406,9403.935059,0.2
407,9421.295898,0
408,9247.685547,0
409,9024.884277,0
410,9001.736328,0
411,9097.222168,0
412,8981.481445,0
413,8862.847656,0
414,8880.208496,0
415,9024.884277,0
416,8964.120605,0
417,8885.995361,0
418,8845.486328,0
419,8776.041504,0
420,8883.102051,0
421,9088.541504,0
422,9163.772949,0
423,8940.972168,0
424,8891.782715,0
425,8799.189453,0
426,8868.634521,0
427,8770.254883,0
428,8741.319336,0
429,8689.236084,0
430,8654.513672,0
431,8640.045898,0
432,8602.43042,0
433,8214.698975,0
434,8764.467773,0
435,8382.522949,0
436,8408.564697,0
437,8469.328369,0
438,8402.778076,0
439,8478.009277,0
440,8593.750244,0
441,8486.689697,0
442,8559.027344,0
443,8544.560059,0
444,8318.865479,0
445,8417.245361,0
446,8483.796387,0
447,8553.240967,0
448,8538.773193,0
449,8446.180908,0.2
450,8451.967285,0.4
